Kid Dracula Nintendo Game Boy ;9,00 EUR;+ 2,00 EUR de envío;desde España;
Kid Dracula - version française FAH PAL Game Boy Castlevania;999,00 EUR;Envío no especificado;desde Francia;
Kid Dracula Gig italian version GAME BOY art box ,NO GAME inside;24,90 EUR;Envío no especificado;desde Italia;
Kid Dracula USA - Gameboy - Very rare game!;119,00 EUR;+ 20,00 EUR de envío;desde Países Bajos;
Kid Dracula Nintendo Gameboy Con Manual 1993 Reino Unido PAL Castlevania Raro;408,05 EUR;+ 37,95 EUR de envío estimado;desde Reino Unido;
Kid Dracula - Jeu Nintendo GameBoy - Cartouche Seule FAH [VERY RARE];249,90 EUR;+ 10,00 EUR de envío;desde Francia;
Kid Dracula Japonés Raro Original Nintendo Gameboy dmg Cartucho De Juego-dfj #3;69,94 EUR;+ 17,64 EUR de envío estimado;desde Reino Unido;
Kid Dracula / Game Boy gb boku kun castlevania konami gameboy japan;55,00 EUR;+ 3,10 EUR de envío;desde Países Bajos;
Kid Dracula Japonés Raro Original Nintendo Gameboy dmg Cartucho De Juego-dfj #2;58,28 EUR;+ 17,42 EUR de envío estimado;desde Reino Unido;
Game Boy GB:Kid Dracula [TOP KONAMI & 1ERE EDITION RARE] Jap;69,90 EUR;+ 30,30 EUR de envío;desde Francia;
Notice Nintendo GB Game Boy Kid Dracula import FAH, Excellent état;49,90 EUR;+ 11,98 EUR de envío;desde Francia;
GameBoy Kid Dracula-reproducido caja de sustitución;10,23 EUR;+ 5,97 EUR de envío;desde Grecia;
Nintendo Gameboy Kid Dracula GBC Repro De Carro;11,65 EUR;+ 16,58 EUR de envío estimado;desde Reino Unido;
Kid Dracula-GAMEBOY en caja con instrucciones-DMG-dfj-Buen Estado L5;303,12 EUR;+ 17,48 EUR de envío;desde Reino Unido;
Nintendo Gameboy Classic Kid Dracula cómo jugar instruction cuadernillo Noe;149,90 EUR;+ 36,99 EUR de envío;desde Alemania;
