Nintendo Game Boy Advance GBA - Centipede + Break Out + Warlords - PAL - EUR;4,99 EUR;+ 5,00 EUR de envío;Vendidos  8 sep 2021Artículo vendido;desde Francia;
Original 1989 Nintendo Gameboy consola DMG-01 Tetris, Super Marioland, Centipede;47,99 EUR;+ 62,08 EUR de envío estimado;Vendidos  24 ago 2021Artículo vendido;desde Reino Unido;
Centipede Nintendo Game Boy Color juego OVP como nuevo probado con instrucciones;7,99 EUR;+ 7,39 EUR de envío;Vendidos  21 ago 2021Artículo vendido;desde Alemania;
Nintendo GameBoy Game Boy Paquete Lote Super Mario Land Centipede necesita amor Set;80,76 EUR;+ 8,50 EUR de envío;Vendidos  14 sep 2021Artículo vendido;desde Estados Unidos;
Centipede (Nintendo Game Boy/Color) Authentic/Cleaned/Tested Arcade GameBoy GBC;8,01 EUR;+ 10,02 EUR de envío;Vendidos  13 sep 2021Artículo vendido;desde Canadá;
Nintendo Game Boy Color Verde Azulado De mano Consola De Juegos + Centipede;55,26 EUR;+ 4,42 EUR de envío;Vendidos  26 ago 2021Artículo vendido;desde Estados Unidos;
Centipede Breakout & Warlords - Cartridge Only - Gameboy Advance - Tracked Post;15,40 EUR;+ 18,56 EUR de envío;Vendidos  21 ago 2021Artículo vendido;desde Australia;
Centipede - Gameboy - Tested & Working! Free Postage!;21,58 EUR;+ 30,80 EUR de envío;Vendidos  20 ago 2021Artículo vendido;desde Australia;
Nintendo Game Boy Juegos-Tetris Centipede Simpsons Cool Super Mario Land World;78,49 EUR;+ 7,23 EUR de envío;Vendidos  15 ago 2021Artículo vendido;desde Estados Unidos;
 Arcade Classic 2: Centipede / Millipede (GameBoy);5,68 EUR;+ 2,67 EUR de envío;Vendidos  9 ago 2021Artículo vendido;desde Canadá;
Classic Nintendo Gameboy Arcade Games - Centipede, pacman, & qbert ;23,43 EUR;+ 5,36 EUR de envío;Vendidos  25 jul 2021Artículo vendido;desde Canadá;
