Pinball Dreams + Boxxle + Solomon's Club : 3 jeux Game Boy;22,90 EUR;+19,90 EUR shipping;Sold  Sep 20, 2021Sold Item;from France;
Nintendo Gameboy With Original Box, Tetris, Boxxle & Game Link Cable C1131;166,40 EUR;+57,47 EUR shipping estimate;Sold  Sep 5, 2021Sold Item;from United Kingdom;
Genuine Gameboy Game Boxxle With Case In Perfect Condition;11,62 EUR;+18,87 EUR shipping estimate;Sold  Aug 25, 2021Sold Item;from United Kingdom;
Nintendo GameBoy game Boxxle 2 cartridge;32,57 EUR;Free International Shipping;Sold  Jul 14, 2021Sold Item;from Germany;
Boxxle - Nintendo Game Boy Gameboy *Complete In Box CIB* Minty;68,22 EUR;Free shipping;Sold  Sep 22, 2021Sold Item;from United States;
Boxxle Nintendo Game Boy Manual Only ~ Instruction Booklet;8,53 EUR;Free shipping;Sold  Sep 20, 2021Sold Item;from United States;
Vtg Original Nintendo Gameboy Game Lot of 6 Spiderman Snoopy Tetris Boxxle Rare;31,56 EUR;+5,07 EUR shipping;Sold  Sep 19, 2021Sold Item;from United States;
Boxxle II 2 Nintemdo Gameboy with Instruction Manual & Case;32,41 EUR;+3,84 EUR shipping;Sold  Sep 17, 2021Sold Item;from United States;
Boxxle - Nintendo Game Boy Cartridge Only - Clean Tested Working Authentic;12,79 EUR;Free shipping;Sold  Sep 15, 2021Sold Item;from United States;
Boxxle Nintendo Game Boy Tested Cartridge And Manual;14,49 EUR;Free shipping;Sold  Sep 13, 2021Sold Item;from United States;
Nintendo Game Boy Boxxle TESTED and working;8,52 EUR;Free shipping;Sold  Sep 12, 2021Sold Item;from United States;
II Boxxle Gameboy;10,23 EUR;+3,80 EUR shipping;Sold  Sep 6, 2021Sold Item;from United States;
Boxxle With Manual/ Instruction Booklet (Nintendo Gameboy);12,79 EUR;Free shipping;Sold  Sep 2, 2021Sold Item;from United States;
Boxxle II 2 - Nintendo Gameboy Authentic;23,86 EUR;Free shipping;Sold  Aug 31, 2021Sold Item;from United States;
Nintendo Game Boy Boxxle TESTED and working;8,52 EUR;+3,67 EUR shipping;Sold  Aug 19, 2021Sold Item;from United States;
Boxxle Original Nintendo Gameboy Clean Tested Authentic Video Game;8,52 EUR;+3,84 EUR shipping;Sold  Aug 14, 2021Sold Item;from United States;
Boxxle (Nintendo Game Boy);4,90 EUR;+3,67 EUR shipping;Sold  Aug 12, 2021Sold Item;from United States;
Nintendo Game Boy Game Cartridge Boxxle;5,11 EUR;+5,97 EUR shipping;Sold  Aug 9, 2021Sold Item;from United States;
Boxxle - Nintendo Game Boy Cartridge W/ Case - Clean Tested Working Authentic;7,50 EUR;Free shipping;Sold  Aug 9, 2021Sold Item;from United States;
Boxxle (Nintendo Game Boy);11,05 EUR;Free shipping;Sold  Aug 8, 2021Sold Item;from United States;
Boxxle 2 with Manual (Gameboy Nintendo) Authentic;25,57 EUR;Free shipping;Sold  Aug 5, 2021Sold Item;from United States;
Boxxle Nintendo Game Boy Video Game Cart;9,41 EUR;Free shipping;Sold  Aug 3, 2021Sold Item;from United States;
Nintendo Gameboy Tetris Boxxle Super Mario Land tested;34,11 EUR;Free shipping;Sold  Aug 3, 2021Sold Item;from United States;
Boxxle - Authentic - Nintendo Game Boy - Manual Only!;5,65 EUR;Free shipping;Sold  Jul 31, 2021Sold Item;from United States;
Boxxle - Nintendo Game Boy Cartridge W/ Case - FREE SHIPPING;11,05 EUR;Free shipping;Sold  Jul 15, 2021Sold Item;from United States;
Boxxle - Nintendo Game Boy Cartridge W/ Case;11,08 EUR;Free shipping;Sold  Jul 8, 2021Sold Item;from United States;
Boxxle (Nintendo Game Boy) - CART ONLY;11,29 EUR;+5,97 EUR shipping;Sold  Jul 8, 2021Sold Item;from Canada;
Boxxle Nintendo Gameboy ORIGINAL Manual Booklet Authentic Instructions Only;5,93 EUR;+4,26 EUR shipping;Sold  Jul 6, 2021Sold Item;from Canada;
Boxxle With Manual/ Instruction Booklet (Nintendo Gameboy) Tested/ Authentic ;14,50 EUR;Free shipping;Sold  Jun 29, 2021Sold Item;from United States;
